trial_type,trial_index,time_elapsed,internal_node_id,rt,phase,biome,feedback,salience,salience_mode,salience_count,comparison_type,forced_creeper_trial,choice,choice_rt,salience_set,highlight_pattern,consider_set,consider_target_n,consider_toggles,outcome_kind,outcome_payout,creeper_severity,focal_cf_block,focal_cf_kind,focal_cf_payout,cf_max_diff,cf_best_alt_value,best_alt_block,best_alt_kind,best_alt_payout,best_alt_adjacent,n_adjacent_highvalue,revealed_blocks,regret_revealed_blocks,wallet_after,response,participant_id,prolific_pid,prolific_study_id,prolific_session_id,date_iso,tally_by_biome,tally_by_feedback,tally_by_salience,tally_by_salience_mode,tally_by_comparison_type,tally_total
html-keyboard-response,1,39400,0.0-10.0,4123,choice,deep,full,a_lot,consider,8,good_to_bad,false,9,4123,[],,"[5,6,8,9,10,12,13,15]",8,"[{""block"":5,""ts_ms"":2929,""action"":""add""},{""block"":6,""ts_ms"":1473,""action"":""add""},{""block"":8,""ts_ms"":1440,""action"":""add""},{""block"":9,""ts_ms"":3166,""action"":""add""},{""block"":10,""ts_ms"":2843,""action"":""add""},{""block"":12,""ts_ms"":3200,""action"":""add""},{""block"":13,""ts_ms"":2120,""action"":""add""},{""block"":15,""ts_ms"":3193,""action"":""add""}]",,,,,,,,,,,,,,,,,,SIM-001,SIM-001,SIM-STUDY,SIM-SESS-7,2026-06-19T17:53:06.262Z,"{""overworld"":22,""deep"":22,""cave"":22}","{""partial"":33,""full"":33}","{""none"":22,""a_lot"":22,""little"":22}","{""n/a"":22,""consider"":44}","{""n/a"":44,""good_to_bad"":12,""bad_to_good"":10}",66
html-keyboard-response,1,41400,0.0-11.0,,anticipation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SIM-001,SIM-001,SIM-STUDY,SIM-SESS-7,2026-06-19T17:53:06.262Z,"{""overworld"":22,""deep"":22,""cave"":22}","{""partial"":33,""full"":33}","{""none"":22,""a_lot"":22,""little"":22}","{""n/a"":22,""consider"":44}","{""n/a"":44,""good_to_bad"":12,""bad_to_good"":10}",66
html-keyboard-response,1,43725,0.0-12.0,2325,outcome,deep,full,a_lot,consider,8,good_to_bad,false,9,,,,,8,,diamond,4,,5,iron,3,-1,3,11,diamond,4,false,0,,,5,,SIM-001,SIM-001,SIM-STUDY,SIM-SESS-7,2026-06-19T17:53:06.262Z,"{""overworld"":22,""deep"":22,""cave"":22}","{""partial"":33,""full"":33}","{""none"":22,""a_lot"":22,""little"":22}","{""n/a"":22,""consider"":44}","{""n/a"":44,""good_to_bad"":12,""bad_to_good"":10}",66
html-keyboard-response,1,48725,0.0-13.0,,counterfactual_feedback,deep,full,a_lot,consider,8,good_to_bad,false,,,,,,8,,,,,5,iron,3,-1,3,11,diamond,4,false,0,"[5,6,8,10,12,13,15]",,,,SIM-001,SIM-001,SIM-STUDY,SIM-SESS-7,2026-06-19T17:53:06.262Z,"{""overworld"":22,""deep"":22,""cave"":22}","{""partial"":33,""full"":33}","{""none"":22,""a_lot"":22,""little"":22}","{""n/a"":22,""consider"":44}","{""n/a"":44,""good_to_bad"":12,""bad_to_good"":10}",66
survey-html-form,1,51690,0.0-14.0,2965,regret_probes,deep,full,a_lot,consider,8,good_to_bad,false,9,,,,,8,,diamond,4,,5,iron,3,-1,3,11,diamond,4,false,0,,"[5,6,8,10,12,13,15]",5,"{""regret_chosen"":31}",SIM-001,SIM-001,SIM-STUDY,SIM-SESS-7,2026-06-19T17:53:06.262Z,"{""overworld"":22,""deep"":22,""cave"":22}","{""partial"":33,""full"":33}","{""none"":22,""a_lot"":22,""little"":22}","{""n/a"":22,""consider"":44}","{""n/a"":44,""good_to_bad"":12,""bad_to_good"":10}",66
html-keyboard-response,1,55800,0.0-15.0,,post_iti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SIM-001,SIM-001,SIM-STUDY,SIM-SESS-7,2026-06-19T17:53:06.262Z,"{""overworld"":22,""deep"":22,""cave"":22}","{""partial"":33,""full"":33}","{""none"":22,""a_lot"":22,""little"":22}","{""n/a"":22,""consider"":44}","{""n/a"":44,""good_to_bad"":12,""bad_to_good"":10}",66
html-keyboard-response,2,58800,0.0-16.0,,biome_cue,overworld,partial,none,,0,,false,,,,,,,,,,,,,,,,,,,,,,,,,SIM-001,SIM-001,SIM-STUDY,SIM-SESS-7,2026-06-19T17:53:06.262Z,"{""overworld"":22,""deep"":22,""cave"":22}","{""partial"":33,""full"":33}","{""none"":22,""a_lot"":22,""little"":22}","{""n/a"":22,""consider"":44}","{""n/a"":44,""good_to_bad"":12,""bad_to_good"":10}",66
html-keyboard-response,2,63540,0.0-17.0,,pre_iti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SIM-001,SIM-001,SIM-STUDY,SIM-SESS-7,2026-06-19T17:53:06.262Z,"{""overworld"":22,""deep"":22,""cave"":22}","{""partial"":33,""full"":33}","{""none"":22,""a_lot"":22,""little"":22}","{""n/a"":22,""consider"":44}","{""n/a"":44,""good_to_bad"":12,""bad_to_good"":10}",66
html-keyboard-response,2,66106,0.0-18.0,2566,choice,overworld,partial,none,,0,,false,7,2566,[],,[],,[],,,,,,,,,,,,,,,,,,SIM-001,SIM-001,SIM-STUDY,SIM-SESS-7,2026-06-19T17:53:06.262Z,"{""overworld"":22,""deep"":22,""cave"":22}","{""partial"":33,""full"":33}","{""none"":22,""a_lot"":22,""little"":22}","{""n/a"":22,""consider"":44}","{""n/a"":44,""good_to_bad"":12,""bad_to_good"":10}",66
html-keyboard-response,2,68106,0.0-19.0,,anticipation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SIM-001,SIM-001,SIM-STUDY,SIM-SESS-7,2026-06-19T17:53:06.262Z,"{""overworld"":22,""deep"":22,""cave"":22}","{""partial"":33,""full"":33}","{""none"":22,""a_lot"":22,""little"":22}","{""n/a"":22,""consider"":44}","{""n/a"":44,""good_to_bad"":12,""bad_to_good"":10}",66
html-keyboard-response,2,70591,0.0-20.0,2485,outcome,overworld,partial,none,,0,,false,7,,,,,,,none,0,,,,,,,13,diamond,4,false,0,,,5,,SIM-001,SIM-001,SIM-STUDY,SIM-SESS-7,2026-06-19T17:53:06.262Z,"{""overworld"":22,""deep"":22,""cave"":22}","{""partial"":33,""full"":33}","{""none"":22,""a_lot"":22,""little"":22}","{""n/a"":22,""consider"":44}","{""n/a"":44,""good_to_bad"":12,""bad_to_good"":10}",66
html-keyboard-response,2,75591,0.0-21.0,,counterfactual_feedback,overworld,partial,none,,0,,false,,,,,,,,,,,,,,,,13,diamond,4,false,0,[],,,,SIM-001,SIM-001,SIM-STUDY,SIM-SESS-7,2026-06-19T17:53:06.262Z,"{""overworld"":22,""deep"":22,""cave"":22}","{""partial"":33,""full"":33}","{""none"":22,""a_lot"":22,""little"":22}","{""n/a"":22,""consider"":44}","{""n/a"":44,""good_to_bad"":12,""bad_to_good"":10}",66
survey-html-form,2,80055,0.0-22.0,4464,regret_probes,overworld,partial,none,,0,,false,7,,,,,,,none,0,,,,,,,13,diamond,4,false,0,,[],5,"{""regret_chosen"":33}",SIM-001,SIM-001,SIM-STUDY,SIM-SESS-7,2026-06-19T17:53:06.262Z,"{""overworld"":22,""deep"":22,""cave"":22}","{""partial"":33,""full"":33}","{""none"":22,""a_lot"":22,""little"":22}","{""n/a"":22,""consider"":44}","{""n/a"":44,""good_to_bad"":12,""bad_to_good"":10}",66
html-keyboard-response,2,84448,0.0-23.0,,post_iti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SIM-001,SIM-001,SIM-STUDY,SIM-SESS-7,2026-06-19T17:53:06.262Z,"{""overworld"":22,""deep"":22,""cave"":22}","{""partial"":33,""full"":33}","{""none"":22,""a_lot"":22,""little"":22}","{""n/a"":22,""consider"":44}","{""n/a"":44,""good_to_bad"":12,""bad_to_good"":10}",66
html-keyboard-response,3,87448,0.0-24.0,,biome_cue,cave,full,little,consider,2,,false,,,,,,,,,,,,,,,,,,,,,,,,,SIM-001,SIM-001,SIM-STUDY,SIM-SESS-7,2026-06-19T17:53:06.262Z,"{""overworld"":22,""deep"":22,""cave"":22}","{""partial"":33,""full"":33}","{""none"":22,""a_lot"":22,""little"":22}","{""n/a"":22,""consider"":44}","{""n/a"":44,""good_to_bad"":12,""bad_to_good"":10}",66
html-keyboard-response,3,92209,0.0-25.0,,pre_iti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SIM-001,SIM-001,SIM-STUDY,SIM-SESS-7,2026-06-19T17:53:06.262Z,"{""overworld"":22,""deep"":22,""cave"":22}","{""partial"":33,""full"":33}","{""none"":22,""a_lot"":22,""little"":22}","{""n/a"":22,""consider"":44}","{""n/a"":44,""good_to_bad"":12,""bad_to_good"":10}",66
html-keyboard-response,3,95777,0.0-26.0,3568,choice,cave,full,little,consider,2,good_to_bad,false,4,3568,[],,"[4,13]",2,"[{""block"":4,""ts_ms"":707,""action"":""add""},{""block"":13,""ts_ms"":1431,""action"":""add""}]",,,,,,,,,,,,,,,,,,SIM-001,SIM-001,SIM-STUDY,SIM-SESS-7,2026-06-19T17:53:06.262Z,"{""overworld"":22,""deep"":22,""cave"":22}","{""partial"":33,""full"":33}","{""none"":22,""a_lot"":22,""little"":22}","{""n/a"":22,""consider"":44}","{""n/a"":44,""good_to_bad"":12,""bad_to_good"":10}",66
html-keyboard-response,3,97777,0.0-27.0,,anticipation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SIM-001,SIM-001,SIM-STUDY,SIM-SESS-7,2026-06-19T17:53:06.262Z,"{""overworld"":22,""deep"":22,""cave"":22}","{""partial"":33,""full"":33}","{""none"":22,""a_lot"":22,""little"":22}","{""n/a"":22,""consider"":44}","{""n/a"":44,""good_to_bad"":12,""bad_to_good"":10}",66
html-keyboard-response,3,100467,0.0-28.0,2690,outcome,cave,full,little,consider,2,good_to_bad,false,4,,,,,2,,coal,1,,13,none,0,-1,0,9,diamond,4,false,0,,,6,,SIM-001,SIM-001,SIM-STUDY,SIM-SESS-7,2026-06-19T17:53:06.262Z,"{""overworld"":22,""deep"":22,""cave"":22}","{""partial"":33,""full"":33}","{""none"":22,""a_lot"":22,""little"":22}","{""n/a"":22,""consider"":44}","{""n/a"":44,""good_to_bad"":12,""bad_to_good"":10}",66
html-keyboard-response,3,105467,0.0-29.0,,counterfactual_feedback,cave,full,little,consider,2,good_to_bad,false,,,,,,2,,,,,13,none,0,-1,0,9,diamond,4,false,0,[13],,,,SIM-001,SIM-001,SIM-STUDY,SIM-SESS-7,2026-06-19T17:53:06.262Z,"{""overworld"":22,""deep"":22,""cave"":22}","{""partial"":33,""full"":33}","{""none"":22,""a_lot"":22,""little"":22}","{""n/a"":22,""consider"":44}","{""n/a"":44,""good_to_bad"":12,""bad_to_good"":10}",66
survey-html-form,3,108874,0.0-30.0,3407,regret_probes,cave,full,little,consider,2,good_to_bad,false,4,,,,,2,,coal,1,,13,none,0,-1,0,9,diamond,4,false,0,,[13],6,"{""regret_chosen"":26}",SIM-001,SIM-001,SIM-STUDY,SIM-SESS-7,2026-06-19T17:53:06.262Z,"{""overworld"":22,""deep"":22,""cave"":22}","{""partial"":33,""full"":33}","{""none"":22,""a_lot"":22,""little"":22}","{""n/a"":22,""consider"":44}","{""n/a"":44,""good_to_bad"":12,""bad_to_good"":10}",66
html-keyboard-response,3,113259,0.0-31.0,,post_iti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SIM-001,SIM-001,SIM-STUDY,SIM-SESS-7,2026-06-19T17:53:06.262Z,"{""overworld"":22,""deep"":22,""cave"":22}","{""partial"":33,""full"":33}","{""none"":22,""a_lot"":22,""little"":22}","{""n/a"":22,""consider"":44}","{""n/a"":44,""good_to_bad"":12,""bad_to_good"":10}",66
html-keyboard-response,4,116259,0.0-32.0,,biome_cue,deep,partial,none,,0,,false,,,,,,,,,,,,,,,,,,,,,,,,,SIM-001,SIM-001,SIM-STUDY,SIM-SESS-7,2026-06-19T17:53:06.262Z,"{""overworld"":22,""deep"":22,""cave"":22}","{""partial"":33,""full"":33}","{""none"":22,""a_lot"":22,""little"":22}","{""n/a"":22,""consider"":44}","{""n/a"":44,""good_to_bad"":12,""bad_to_good"":10}",66
html-keyboard-response,4,120373,0.0-33.0,,pre_iti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SIM-001,SIM-001,SIM-STUDY,SIM-SESS-7,2026-06-19T17:53:06.262Z,"{""overworld"":22,""deep"":22,""cave"":22}","{""partial"":33,""full"":33}","{""none"":22,""a_lot"":22,""little"":22}","{""n/a"":22,""consider"":44}","{""n/a"":44,""good_to_bad"":12,""bad_to_good"":10}",66
html-keyboard-response,4,122929,0.0-34.0,2556,choice,deep,partial,none,,0,,false,6,2556,[],,[],,[],,,,,,,,,,,,,,,,,,SIM-001,SIM-001,SIM-STUDY,SIM-SESS-7,2026-06-19T17:53:06.262Z,"{""overworld"":22,""deep"":22,""cave"":22}","{""partial"":33,""full"":33}","{""none"":22,""a_lot"":22,""little"":22}","{""n/a"":22,""consider"":44}","{""n/a"":44,""good_to_bad"":12,""bad_to_good"":10}",66
html-keyboard-response,4,124929,0.0-35.0,,anticipation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SIM-001,SIM-001,SIM-STUDY,SIM-SESS-7,2026-06-19T17:53:06.262Z,"{""overworld"":22,""deep"":22,""cave"":22}","{""partial"":33,""full"":33}","{""none"":22,""a_lot"":22,""little"":22}","{""n/a"":22,""consider"":44}","{""n/a"":44,""good_to_bad"":12,""bad_to_good"":10}",66
html-keyboard-response,4,127250,0.0-36.0,2321,outcome,deep,partial,none,,0,,false,6,,,,,,,none,0,,,,,,,5,diamond,4,true,4,,,6,,SIM-001,SIM-001,SIM-STUDY,SIM-SESS-7,2026-06-19T17:53:06.262Z,"{""overworld"":22,""deep"":22,""cave"":22}","{""partial"":33,""full"":33}","{""none"":22,""a_lot"":22,""little"":22}","{""n/a"":22,""consider"":44}","{""n/a"":44,""good_to_bad"":12,""bad_to_good"":10}",66
html-keyboard-response,4,132250,0.0-37.0,,counterfactual_feedback,deep,partial,none,,0,,false,,,,,,,,,,,,,,,,5,diamond,4,true,4,[],,,,SIM-001,SIM-001,SIM-STUDY,SIM-SESS-7,2026-06-19T17:53:06.262Z,"{""overworld"":22,""deep"":22,""cave"":22}","{""partial"":33,""full"":33}","{""none"":22,""a_lot"":22,""little"":22}","{""n/a"":22,""consider"":44}","{""n/a"":44,""good_to_bad"":12,""bad_to_good"":10}",66
survey-html-form,4,135097,0.0-38.0,2847,regret_probes,deep,partial,none,,0,,false,6,,,,,,,none,0,,,,,,,5,diamond,4,true,4,,[],6,"{""regret_chosen"":47}",SIM-001,SIM-001,SIM-STUDY,SIM-SESS-7,2026-06-19T17:53:06.262Z,"{""overworld"":22,""deep"":22,""cave"":22}","{""partial"":33,""full"":33}","{""none"":22,""a_lot"":22,""little"":22}","{""n/a"":22,""consider"":44}","{""n/a"":44,""good_to_bad"":12,""bad_to_good"":10}",66
html-keyboard-response,4,139234,0.0-39.0,,post_iti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SIM-001,SIM-001,SIM-STUDY,SIM-SESS-7,2026-06-19T17:53:06.262Z,"{""overworld"":22,""deep"":22,""cave"":22}","{""partial"":33,""full"":33}","{""none"":22,""a_lot"":22,""little"":22}","{""n/a"":22,""consider"":44}","{""n/a"":44,""good_to_bad"":12,""bad_to_good"":10}",66
html-keyboard-response,5,142234,0.0-40.0,,biome_cue,deep,full,none,,0,,false,,,,,,,,,,,,,,,,,,,,,,,,,SIM-001,SIM-001,SIM-STUDY,SIM-SESS-7,2026-06-19T17:53:06.262Z,"{""overworld"":22,""deep"":22,""cave"":22}","{""partial"":33,""full"":33}","{""none"":22,""a_lot"":22,""little"":22}","{""n/a"":22,""consider"":44}","{""n/a"":44,""good_to_bad"":12,""bad_to_good"":10}",66
html-keyboard-response,5,146262,0.0-41.0,,pre_iti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SIM-001,SIM-001,SIM-STUDY,SIM-SESS-7,2026-06-19T17:53:06.262Z,"{""overworld"":22,""deep"":22,""cave"":22}","{""partial"":33,""full"":33}","{""none"":22,""a_lot"":22,""little"":22}","{""n/a"":22,""consider"":44}","{""n/a"":44,""good_to_bad"":12,""bad_to_good"":10}",66
html-keyboard-response,5,148811,0.0-42.0,2549,choice,deep,full,none,,0,,false,11,2549,[],,[],,[],,,,,,,,,,,,,,,,,,SIM-001,SIM-001,SIM-STUDY,SIM-SESS-7,2026-06-19T17:53:06.262Z,"{""overworld"":22,""deep"":22,""cave"":22}","{""partial"":33,""full"":33}","{""none"":22,""a_lot"":22,""little"":22}","{""n/a"":22,""consider"":44}","{""n/a"":44,""good_to_bad"":12,""bad_to_good"":10}",66
html-keyboard-response,5,150811,0.0-43.0,,anticipation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SIM-001,SIM-001,SIM-STUDY,SIM-SESS-7,2026-06-19T17:53:06.262Z,"{""overworld"":22,""deep"":22,""cave"":22}","{""partial"":33,""full"":33}","{""none"":22,""a_lot"":22,""little"":22}","{""n/a"":22,""consider"":44}","{""n/a"":44,""good_to_bad"":12,""bad_to_good"":10}",66
html-keyboard-response,5,153429,0.0-44.0,2618,outcome,deep,full,none,,0,,false,11,,,,,,,diamond,4,,,,,,,1,diamond,4,false,0,,,10,,SIM-001,SIM-001,SIM-STUDY,SIM-SESS-7,2026-06-19T17:53:06.262Z,"{""overworld"":22,""deep"":22,""cave"":22}","{""partial"":33,""full"":33}","{""none"":22,""a_lot"":22,""little"":22}","{""n/a"":22,""consider"":44}","{""n/a"":44,""good_to_bad"":12,""bad_to_good"":10}",66
html-keyboard-response,5,158429,0.0-45.0,,counterfactual_feedback,deep,full,none,,0,,false,,,,,,,,,,,,,,,,1,diamond,4,false,0,[],,,,SIM-001,SIM-001,SIM-STUDY,SIM-SESS-7,2026-06-19T17:53:06.262Z,"{""overworld"":22,""deep"":22,""cave"":22}","{""partial"":33,""full"":33}","{""none"":22,""a_lot"":22,""little"":22}","{""n/a"":22,""consider"":44}","{""n/a"":44,""good_to_bad"":12,""bad_to_good"":10}",66
survey-html-form,5,161001,0.0-46.0,2572,regret_probes,deep,full,none,,0,,false,11,,,,,,,diamond,4,,,,,,,1,diamond,4,false,0,,[],10,"{""regret_chosen"":26}",SIM-001,SIM-001,SIM-STUDY,SIM-SESS-7,2026-06-19T17:53:06.262Z,"{""overworld"":22,""deep"":22,""cave"":22}","{""partial"":33,""full"":33}","{""none"":22,""a_lot"":22,""little"":22}","{""n/a"":22,""consider"":44}","{""n/a"":44,""good_to_bad"":12,""bad_to_good"":10}",66
html-keyboard-response,5,165844,0.0-47.0,,post_iti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SIM-001,SIM-001,SIM-STUDY,SIM-SESS-7,2026-06-19T17:53:06.262Z,"{""overworld"":22,""deep"":22,""cave"":22}","{""partial"":33,""full"":33}","{""none"":22,""a_lot"":22,""little"":22}","{""n/a"":22,""consider"":44}","{""n/a"":44,""good_to_bad"":12,""bad_to_good"":10}",66
html-keyboard-response,6,168844,0.0-48.0,,biome_cue,deep,full,a_lot,consider,8,,false,,,,,,,,,,,,,,,,,,,,,,,,,SIM-001,SIM-001,SIM-STUDY,SIM-SESS-7,2026-06-19T17:53:06.262Z,"{""overworld"":22,""deep"":22,""cave"":22}","{""partial"":33,""full"":33}","{""none"":22,""a_lot"":22,""little"":22}","{""n/a"":22,""consider"":44}","{""n/a"":44,""good_to_bad"":12,""bad_to_good"":10}",66
html-keyboard-response,6,173699,0.0-49.0,,pre_iti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SIM-001,SIM-001,SIM-STUDY,SIM-SESS-7,2026-06-19T17:53:06.262Z,"{""overworld"":22,""deep"":22,""cave"":22}","{""partial"":33,""full"":33}","{""none"":22,""a_lot"":22,""little"":22}","{""n/a"":22,""consider"":44}","{""n/a"":44,""good_to_bad"":12,""bad_to_good"":10}",66
html-keyboard-response,6,177577,0.0-50.0,3878,choice,deep,full,a_lot,consider,8,good_to_bad,false,1,3878,[],,"[1,3,4,9,10,13,15,16]",8,"[{""block"":1,""ts_ms"":929,""action"":""add""},{""block"":3,""ts_ms"":2494,""action"":""add""},{""block"":4,""ts_ms"":3238,""action"":""add""},{""block"":9,""ts_ms"":1329,""action"":""add""},{""block"":10,""ts_ms"":1689,""action"":""add""},{""block"":13,""ts_ms"":881,""action"":""add""},{""block"":15,""ts_ms"":984,""action"":""add""},{""block"":16,""ts_ms"":699,""action"":""add""}]",,,,,,,,,,,,,,,,,,SIM-001,SIM-001,SIM-STUDY,SIM-SESS-7,2026-06-19T17:53:06.262Z,"{""overworld"":22,""deep"":22,""cave"":22}","{""partial"":33,""full"":33}","{""none"":22,""a_lot"":22,""little"":22}","{""n/a"":22,""consider"":44}","{""n/a"":44,""good_to_bad"":12,""bad_to_good"":10}",66
html-keyboard-response,6,179577,0.0-51.0,,anticipation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SIM-001,SIM-001,SIM-STUDY,SIM-SESS-7,2026-06-19T17:53:06.262Z,"{""overworld"":22,""deep"":22,""cave"":22}","{""partial"":33,""full"":33}","{""none"":22,""a_lot"":22,""little"":22}","{""n/a"":22,""consider"":44}","{""n/a"":44,""good_to_bad"":12,""bad_to_good"":10}",66
html-keyboard-response,6,181345,0.0-52.0,1768,outcome,deep,full,a_lot,consider,8,good_to_bad,false,1,,,,,8,,iron,3,,4,copper,2,-1,2,6,diamond,4,false,0,,,13,,SIM-001,SIM-001,SIM-STUDY,SIM-SESS-7,2026-06-19T17:53:06.262Z,"{""overworld"":22,""deep"":22,""cave"":22}","{""partial"":33,""full"":33}","{""none"":22,""a_lot"":22,""little"":22}","{""n/a"":22,""consider"":44}","{""n/a"":44,""good_to_bad"":12,""bad_to_good"":10}",66
html-keyboard-response,6,186345,0.0-53.0,,counterfactual_feedback,deep,full,a_lot,consider,8,good_to_bad,false,,,,,,8,,,,,4,copper,2,-1,2,6,diamond,4,false,0,"[3,4,9,10,13,15,16]",,,,SIM-001,SIM-001,SIM-STUDY,SIM-SESS-7,2026-06-19T17:53:06.262Z,"{""overworld"":22,""deep"":22,""cave"":22}","{""partial"":33,""full"":33}","{""none"":22,""a_lot"":22,""little"":22}","{""n/a"":22,""consider"":44}","{""n/a"":44,""good_to_bad"":12,""bad_to_good"":10}",66
